Observation: Box([-90.        -90.         -5.         -5.         -3.1415927  -5.
  -0.         -0.       ], [90.        90.         5.         5.         3.1415927  5.
  1.         1.       ], (8,), float32), float32
Action:      Discrete(4), int64
Using cpu device
action values = [ 0.0127886  -0.11541089  0.09351447 -0.02927131]
[1179.8] #120: length 643, score -108, epsilon 0.030
[1182.3] #121: length 1036, score 141, epsilon 0.030
[1183.7] #122: length 693, score -139, epsilon 0.030
[1184.9] #123: length 596, score -80, epsilon 0.030
[1185.6] #124: length 403, score 220, epsilon 0.030
[1187.9] #125: length 1069, score 20, epsilon 0.030
[1188.9] #126: length 500, score 183, epsilon 0.030
[1192.8] #127: length 1464, score -282, epsilon 0.030
[1195.2] #128: length 956, score 83, epsilon 0.030
[1197.6] #129: length 1055, score 122, epsilon 0.030
[1199.5] #130: length 794, score 165, epsilon 0.030
[1200.8] #131: length 642, score 186, epsilon 0.030
[1203.3] #132: length 1029, score 172, epsilon 0.030
[1203.5] #133: length 153, score -107, epsilon 0.030
[1209.1] #134: length 2105, score -330, epsilon 0.030
[1219.4] #135: length 2705, score -129, epsilon 0.030
[1220.4] #136: length 491, score 195, epsilon 0.030
[1222.2] #137: length 882, score 145, epsilon 0.030
[1224.6] #138: length 888, score 137, epsilon 0.030
[1226.8] #139: length 970, score 175, epsilon 0.030
[1228.2] #140: length 679, score 190, epsilon 0.030
[1233.4] #141: length 2241, score -112, epsilon 0.030
[1234.4] #142: length 464, score 227, epsilon 0.030
[1238.3] #143: length 1535, score 58, epsilon 0.030
[1239.2] #144: length 493, score 234, epsilon 0.030
[1240.6] #145: length 694, score 205, epsilon 0.030
[1241.5] #146: length 468, score 226, epsilon 0.030
[1242.3] #147: length 417, score 250, epsilon 0.030
[1243.1] #148: length 440, score 189, epsilon 0.030
[1244.1] #149: length 504, score 255, epsilon 0.030
[1245.7] #150: length 697, score 201, epsilon 0.030
[1246.7] #151: length 547, score 253, epsilon 0.030
[1247.6] #152: length 488, score 249, epsilon 0.030
[1248.7] #153: length 532, score 220, epsilon 0.030
[1249.9] #154: length 537, score 203, epsilon 0.030
[1250.9] #155: length 513, score 243, epsilon 0.030
[1255.5] #156: length 1826, score -498, epsilon 0.030
[1256.8] #157: length 622, score 198, epsilon 0.030
[1258.9] #158: length 964, score 141, epsilon 0.030
[1260.9] #159: length 930, score -414, epsilon 0.030
[1262.0] #160: length 575, score 196, epsilon 0.030
[1264.8] #161: length 1341, score 99, epsilon 0.030
[1266.0] #162: length 559, score 179, epsilon 0.030
[1267.0] #163: length 500, score 216, epsilon 0.030
[1271.3] #164: length 1252, score 105, epsilon 0.030
[1272.5] #165: length 558, score 206, epsilon 0.030
[1273.6] #166: length 545, score 187, epsilon 0.030
[1275.1] #167: length 693, score 176, epsilon 0.030
[1276.4] #168: length 599, score 227, epsilon 0.030
[1281.3] #169: length 1499, score 48, epsilon 0.030
[1284.3] #170: length 1223, score 117, epsilon 0.030
[1285.8] #171: length 737, score 166, epsilon 0.030
[1287.5] #172: length 835, score 174, epsilon 0.030
[1288.6] #173: length 566, score 236, epsilon 0.030
[1289.4] #174: length 431, score 251, epsilon 0.030
[1291.3] #175: length 791, score 184, epsilon 0.030
[1293.2] #176: length 858, score 171, epsilon 0.030
[1294.3] #177: length 529, score 218, epsilon 0.030
[1295.4] #178: length 528, score 246, epsilon 0.030
[1298.9] #179: length 1353, score -332, epsilon 0.030
[1299.9] #180: length 488, score 199, epsilon 0.030
[1300.8] #181: length 476, score 244, epsilon 0.030
[1302.2] #182: length 677, score 188, epsilon 0.030
[1303.8] #183: length 711, score 191, epsilon 0.030
[1305.4] #184: length 718, score 179, epsilon 0.030
[1307.2] #185: length 816, score 178, epsilon 0.030
[1309.6] #186: length 987, score 144, epsilon 0.030
[1310.5] #187: length 460, score 212, epsilon 0.030
[1311.4] #188: length 460, score 275, epsilon 0.030
[1312.1] #189: length 420, score 253, epsilon 0.030
[1312.9] #190: length 447, score 252, epsilon 0.030
[1313.7] #191: length 432, score 211, epsilon 0.030
[1314.4] #192: length 358, score 249, epsilon 0.030
[1315.2] #193: length 442, score 247, epsilon 0.030
[1315.8] #194: length 374, score 247, epsilon 0.030
[1316.7] #195: length 452, score 204, epsilon 0.030
[1317.7] #196: length 488, score 242, epsilon 0.030
[1318.4] #197: length 388, score 209, epsilon 0.030
[1318.9] #198: length 300, score 261, epsilon 0.030
[1319.7] #199: length 403, score 250, epsilon 0.030
[1320.8] #200: length 548, score 212, epsilon 0.030
[1322.6] #201: length 792, score 188, epsilon 0.030
[1323.3] #202: length 363, score 223, epsilon 0.030
[1323.8] #203: length 323, score 244, epsilon 0.030
[1324.9] #204: length 624, score 231, epsilon 0.030
[1325.6] #205: length 359, score 271, epsilon 0.030
[1326.2] #206: length 374, score 255, epsilon 0.030
[1326.9] #207: length 384, score 247, epsilon 0.030
[1327.5] #208: length 354, score 255, epsilon 0.030
[1328.6] #209: length 539, score 235, epsilon 0.030
[1329.2] #210: length 371, score 276, epsilon 0.030
[1329.8] #211: length 340, score 242, epsilon 0.030
[1330.8] #212: length 499, score 226, epsilon 0.030
[1331.4] #213: length 329, score 239, epsilon 0.030
[1335.5] #214: length 1613, score 115, epsilon 0.030
[1339.1] #215: length 1644, score 41, epsilon 0.030
[1340.6] #216: length 698, score 194, epsilon 0.030
[1341.2] #217: length 347, score 256, epsilon 0.030
[1343.1] #218: length 777, score 106, epsilon 0.030
[1344.1] #219: length 557, score 217, epsilon 0.030
[1345.0] #220: length 485, score 213, epsilon 0.030
[1345.8] #221: length 441, score 201, epsilon 0.030
[1346.5] #222: length 386, score 232, epsilon 0.030
[1347.2] #223: length 362, score 242, epsilon 0.030
[1348.0] #224: length 469, score 233, epsilon 0.030
[1349.2] #225: length 578, score 232, epsilon 0.030
[1350.3] #226: length 556, score 226, epsilon 0.030
[1351.0] #227: length 398, score 221, epsilon 0.030
[1351.8] #228: length 418, score 271, epsilon 0.030
[1352.6] #229: length 421, score 232, epsilon 0.030
[1353.3] #230: length 389, score 260, epsilon 0.030
[1354.0] #231: length 388, score 227, epsilon 0.030
[1354.7] #232: length 374, score 225, epsilon 0.030
[1355.3] #233: length 331, score 242, epsilon 0.030
[1356.3] #234: length 512, score 230, epsilon 0.030
[1357.1] #235: length 427, score 238, epsilon 0.030
[1357.8] #236: length 388, score 243, epsilon 0.030
[1358.7] #237: length 459, score 204, epsilon 0.030
[1359.3] #238: length 360, score 244, epsilon 0.030
[1359.9] #239: length 331, score 277, epsilon 0.030
[1361.4] #240: length 745, score 207, epsilon 0.030
[1362.9] #241: length 805, score 201, epsilon 0.030
[1363.8] #242: length 479, score 226, epsilon 0.030
[1365.0] #243: length 578, score 212, epsilon 0.030
[1365.7] #244: length 373, score 271, epsilon 0.030
[1366.4] #245: length 393, score 250, epsilon 0.030
[1367.1] #246: length 408, score 248, epsilon 0.030
[1368.8] #247: length 774, score 213, epsilon 0.030
