[35.0] #100: length 80, score -78, avg -115.1, epsilon 0.603
[35.5] #101: length 137, score -89, avg -115.1, epsilon 0.600
[35.9] #102: length 132, score -107, avg -112.7, epsilon 0.597
[36.2] #103: length 81, score -98, avg -112.6, epsilon 0.594
[36.7] #104: length 131, score -83, avg -112.0, epsilon 0.591
[37.7] #105: length 293, score -43, avg -111.3, epsilon 0.588
[38.1] #106: length 118, score -80, avg -111.0, epsilon 0.585
[38.6] #107: length 120, score -178, avg -109.5, epsilon 0.582
[39.2] #108: length 171, score -80, avg -108.9, epsilon 0.579
[39.5] #109: length 109, score -83, avg -107.9, epsilon 0.576
[40.2] #110: length 195, score -66, avg -107.1, epsilon 0.573
[40.6] #111: length 113, score -57, avg -106.3, epsilon 0.570
[40.9] #112: length 79, score -133, avg -106.5, epsilon 0.568
[41.2] #113: length 106, score -63, avg -104.0, epsilon 0.565
[42.3] #114: length 286, score -67, avg -103.0, epsilon 0.562
[44.1] #115: length 500, score 157, avg -101.2, epsilon 0.559
[44.5] #116: length 110, score -55, avg -100.6, epsilon 0.556
[45.1] #117: length 178, score 5, avg -98.6, epsilon 0.554
[45.5] #118: length 108, score -105, avg -99.3, epsilon 0.551
[45.9] #119: length 120, score -86, avg -97.0, epsilon 0.548
[46.4] #120: length 157, score -99, avg -93.9, epsilon 0.545
[46.9] #121: length 130, score -78, avg -94.1, epsilon 0.543
[48.0] #122: length 301, score -119, avg -91.8, epsilon 0.540
[48.5] #123: length 133, score -58, avg -91.0, epsilon 0.537
[49.1] #124: length 192, score -8, avg -89.7, epsilon 0.534
[49.6] #125: length 144, score -67, avg -87.5, epsilon 0.532
[51.6] #126: length 500, score -21, avg -86.4, epsilon 0.529
[52.0] #127: length 128, score -95, avg -86.9, epsilon 0.526
[52.8] #128: length 204, score -34, avg -85.5, epsilon 0.524
[54.6] #129: length 500, score 41, avg -84.6, epsilon 0.521
[55.0] #130: length 87, score -36, avg -83.8, epsilon 0.519
[55.6] #131: length 185, score -10, avg -82.5, epsilon 0.516
[56.3] #132: length 206, score -97, avg -82.2, epsilon 0.513
[56.8] #133: length 132, score -14, avg -80.6, epsilon 0.511
[57.4] #134: length 172, score -62, avg -80.5, epsilon 0.508
[58.0] #135: length 180, score 16, avg -78.5, epsilon 0.506
[58.6] #136: length 161, score -51, avg -76.9, epsilon 0.503
[58.9] #137: length 96, score -70, avg -78.2, epsilon 0.501
[60.9] #138: length 500, score 72, avg -76.1, epsilon 0.498
[61.6] #139: length 195, score -21, avg -75.8, epsilon 0.496
[62.4] #140: length 213, score -78, avg -76.2, epsilon 0.493
[62.9] #141: length 158, score -6, avg -75.0, epsilon 0.491
[63.6] #142: length 184, score -35, avg -74.3, epsilon 0.488
[64.3] #143: length 184, score -43, avg -74.3, epsilon 0.486
[64.9] #144: length 192, score -16, avg -73.8, epsilon 0.483
[65.5] #145: length 163, score -51, avg -73.6, epsilon 0.481
[66.1] #146: length 170, score -58, avg -73.3, epsilon 0.479
[68.1] #147: length 500, score -21, avg -70.4, epsilon 0.476
[68.6] #148: length 145, score -24, avg -69.4, epsilon 0.474
[69.2] #149: length 180, score -5, avg -68.9, epsilon 0.471
[70.0] #150: length 202, score 7, avg -68.1, epsilon 0.469
[70.5] #151: length 158, score 5, avg -66.3, epsilon 0.467
[71.3] #152: length 223, score -7, avg -65.6, epsilon 0.464
[73.4] #153: length 500, score -12, avg -64.1, epsilon 0.462
[75.4] #154: length 500, score 33, avg -63.1, epsilon 0.460
[75.7] #155: length 92, score -75, avg -62.6, epsilon 0.458
[76.5] #156: length 212, score -43, avg -61.5, epsilon 0.455
[77.0] #157: length 157, score -7, avg -60.5, epsilon 0.453
[79.2] #158: length 500, score 5, avg -59.4, epsilon 0.451
[80.7] #159: length 376, score -32, avg -59.1, epsilon 0.448
[81.3] #160: length 171, score -126, avg -59.2, epsilon 0.446
[83.2] #161: length 500, score 112, avg -57.8, epsilon 0.444
[83.7] #162: length 137, score 30, avg -56.7, epsilon 0.442
[85.4] #163: length 435, score -162, avg -56.7, epsilon 0.440
[85.7] #164: length 91, score -108, avg -56.9, epsilon 0.437
